date,Open,High,Low,Close,Volume
"Dec 30, 2022",128.41,129.95,127.43,129.93,129.55
"Dec 29, 2022",127.99,130.48,127.73,129.61,129.23
"Dec 28, 2022",129.67,131.03,125.87,126.04,125.67
"Dec 27, 2022",131.38,131.41,128.72,130.03,129.65
"Dec 23, 2022",130.92,132.42,129.64,131.86,131.48
"Dec 22, 2022",134.35,134.56,130.30,132.23,131.85
"Dec 21, 2022",132.98,136.81,132.75,135.45,135.06
"Dec 20, 2022",131.39,133.25,129.89,132.30,131.92
"Dec 19, 2022",135.11,135.20,131.32,132.37,131.99
"Dec 16, 2022",136.69,137.65,133.73,134.51,134.12
"Dec 15, 2022",141.11,141.80,136.03,136.50,136.10
"Dec 14, 2022",145.35,146.66,141.16,143.21,142.79
"Dec 13, 2022",149.50,149.97,144.24,145.47,145.05
"Dec 12, 2022",142.70,144.50,141.06,144.49,144.07
"Dec 09, 2022",142.34,145.57,140.90,142.16,141.75
"Dec 08, 2022",142.36,143.52,141.10,142.65,142.24
"Dec 07, 2022",142.19,143.37,140.00,140.94,140.53
"Dec 06, 2022",147.07,147.30,141.92,142.91,142.50
"Dec 05, 2022",147.77,150.92,145.77,146.63,146.20
"Dec 02, 2022",145.96,148.00,145.65,147.81,147.38
"Dec 01, 2022",148.21,149.13,146.61,148.31,147.88
"Nov 30, 2022",141.40,148.72,140.55,148.03,147.60
"Nov 29, 2022",144.29,144.81,140.35,141.17,140.76
"Nov 28, 2022",145.14,146.64,143.38,144.22,143.80
"Nov 25, 2022",148.31,148.88,147.12,148.11,147.68
"Nov 23, 2022",149.45,151.83,149.34,151.07,150.63
"Nov 22, 2022",148.13,150.42,146.93,150.18,149.74
"Nov 21, 2022",150.16,150.37,147.72,148.01,147.58
"Nov 18, 2022",152.31,152.70,149.97,151.29,150.85
"Nov 17, 2022",146.43,151.48,146.15,150.72,150.28
"Nov 16, 2022",149.13,149.87,147.29,148.79,148.36
"Nov 15, 2022",152.22,153.59,148.56,150.04,149.60
"Nov 14, 2022",148.97,150.28,147.43,148.28,147.85
"Nov 11, 2022",145.82,150.01,144.37,149.70,149.27
"Nov 10, 2022",141.24,146.87,139.50,146.87,146.44
"Nov 09, 2022",138.50,138.55,134.59,134.87,134.48
"Nov 08, 2022",140.41,141.43,137.49,139.50,139.09
"Nov 07, 2022",137.11,139.15,135.67,138.92,138.52
"Nov 04, 2022",142.09,142.67,134.38,138.38,137.98
"Nov 03, 2022",142.06,142.80,138.75,138.88,138.25
"Nov 02, 2022",148.95,152.17,145.00,145.03,144.37
"Nov 01, 2022",155.08,155.45,149.13,150.65,149.96
"Oct 31, 2022",153.16,154.24,151.92,153.34,152.64
"Oct 28, 2022",148.20,157.50,147.82,155.74,155.03
"Oct 27, 2022",148.07,149.05,144.13,144.80,144.14
"Oct 26, 2022",150.96,151.99,148.04,149.35,148.67
"Oct 25, 2022",150.09,152.49,149.36,152.34,151.65
"Oct 24, 2022",147.19,150.23,146.00,149.45,148.77
"Oct 21, 2022",142.87,147.85,142.65,147.27,146.60
"Oct 20, 2022",143.02,145.89,142.65,143.39,142.74
"Oct 19, 2022",141.69,144.95,141.50,143.86,143.20
"Oct 18, 2022",145.49,146.70,140.61,143.75,143.10
"Oct 17, 2022",141.07,142.90,140.27,142.41,141.76
"Oct 14, 2022",144.31,144.52,138.19,138.38,137.75
"Oct 13, 2022",134.99,143.59,134.37,142.99,142.34
"Oct 12, 2022",139.13,140.36,138.16,138.34,137.71
"Oct 11, 2022",139.90,141.35,138.22,138.98,138.35
"Oct 10, 2022",140.42,141.89,138.57,140.42,139.78
"Oct 07, 2022",142.54,143.10,139.45,140.09,139.45
"Oct 06, 2022",145.81,147.54,145.22,145.43,144.77
"Oct 05, 2022",144.07,147.38,143.01,146.40,145.73
"Oct 04, 2022",145.03,146.22,144.26,146.10,145.43
"Oct 03, 2022",138.21,143.07,137.69,142.45,141.80
"Sep 30, 2022",141.28,143.10,138.00,138.20,137.57
"Sep 29, 2022",146.10,146.72,140.68,142.48,141.83
"Sep 28, 2022",147.64,150.64,144.84,149.84,149.16
"Sep 27, 2022",152.74,154.72,149.95,151.76,151.07
"Sep 26, 2022",149.66,153.77,149.64,150.77,150.08
"Sep 23, 2022",151.19,151.47,148.56,150.43,149.74
"Sep 22, 2022",152.38,154.47,150.91,152.74,152.04
"Sep 21, 2022",157.34,158.74,153.60,153.72,153.02
"Sep 20, 2022",153.40,158.08,153.08,156.90,156.19
"Sep 19, 2022",149.31,154.56,149.10,154.48,153.78
"Sep 16, 2022",151.21,151.35,148.37,150.70,150.01
"Sep 15, 2022",154.65,155.24,151.38,152.37,151.68
"Sep 14, 2022",154.79,157.10,153.61,155.31,154.60
"Sep 13, 2022",159.90,160.54,153.37,153.84,153.14
"Sep 12, 2022",159.59,164.26,159.30,163.43,162.69
"Sep 09, 2022",155.47,157.82,154.75,157.37,156.65
"Sep 08, 2022",154.64,156.36,152.68,154.46,153.76
"Sep 07, 2022",154.82,156.67,153.61,155.96,155.25
"Sep 06, 2022",156.47,157.09,153.69,154.53,153.83
"Sep 02, 2022",159.75,160.36,154.97,155.81,155.10
"Sep 01, 2022",156.64,158.42,154.67,157.96,157.24
"Aug 31, 2022",160.31,160.58,157.14,157.22,156.50
"Aug 30, 2022",162.13,162.56,157.72,158.91,158.19
"Aug 29, 2022",161.15,162.90,159.82,161.38,160.64
"Aug 26, 2022",170.57,171.05,163.56,163.62,162.87
"Aug 25, 2022",168.78,170.14,168.35,170.03,169.26
"Aug 24, 2022",167.32,168.11,166.25,167.53,166.77
"Aug 23, 2022",167.08,168.71,166.65,167.23,166.47
"Aug 22, 2022",169.69,169.86,167.14,167.57,166.81
"Aug 19, 2022",173.03,173.74,171.31,171.52,170.74
"Aug 18, 2022",173.75,174.90,173.12,174.15,173.36
"Aug 17, 2022",172.77,176.15,172.57,174.55,173.75
"Aug 16, 2022",172.78,173.71,171.66,173.03,172.24
"Aug 15, 2022",171.52,173.39,171.35,173.19,172.40
"Aug 12, 2022",169.82,172.17,169.40,172.10,171.32
"Aug 11, 2022",170.06,170.99,168.19,168.49,167.72
"Aug 10, 2022",167.68,169.34,166.90,169.24,168.47
"Aug 09, 2022",164.02,165.82,163.25,164.92,164.17
"Aug 08, 2022",166.37,167.81,164.20,164.87,164.12
"Aug 05, 2022",163.21,165.85,163.00,165.35,164.60
"Aug 04, 2022",166.01,167.19,164.43,165.81,164.83
"Aug 03, 2022",160.84,166.59,160.75,166.13,165.14
"Aug 02, 2022",160.10,162.41,159.63,160.01,159.06
"Aug 01, 2022",161.01,163.59,160.89,161.51,160.55
"Jul 29, 2022",161.24,163.63,159.50,162.51,161.55
"Jul 28, 2022",156.98,157.64,154.41,157.35,156.42
"Jul 27, 2022",152.58,157.33,152.16,156.79,155.86
"Jul 26, 2022",152.26,153.09,150.80,151.60,150.70
"Jul 25, 2022",154.01,155.04,152.28,152.95,152.04
"Jul 22, 2022",155.39,156.28,153.41,154.09,153.18
"Jul 21, 2022",154.50,155.57,151.94,155.35,154.43
"Jul 20, 2022",151.12,153.72,150.37,153.04,152.13
"Jul 19, 2022",147.92,151.23,146.91,151.00,150.10
"Jul 18, 2022",150.74,151.57,146.70,147.07,146.20
"Jul 15, 2022",149.78,150.86,148.20,150.17,149.28
"Jul 14, 2022",144.08,148.95,143.25,148.47,147.59
"Jul 13, 2022",142.99,146.45,142.12,145.49,144.63
"Jul 12, 2022",145.76,148.45,145.05,145.86,144.99
"Jul 11, 2022",145.67,146.64,143.78,144.87,144.01
