date,Open,High,Low,Close,Volume
"Dec 30, 2022",87.36,88.83,87.03,88.73,88.73
"Dec 29, 2022",87.03,89.36,86.99,88.95,88.95
"Dec 28, 2022",87.50,88.52,86.37,86.46,86.46
"Dec 27, 2022",89.31,89.50,87.54,87.93,87.93
"Dec 23, 2022",87.62,90.10,87.62,89.81,89.81
"Dec 22, 2022",88.93,89.18,86.94,88.26,88.26
"Dec 21, 2022",89.73,90.92,88.91,90.25,90.25
"Dec 20, 2022",88.73,89.78,88.04,89.63,89.63
"Dec 19, 2022",90.88,91.20,88.93,89.15,89.15
"Dec 16, 2022",91.20,91.75,90.01,90.86,90.86
"Dec 15, 2022",93.54,94.03,90.43,91.20,91.20
"Dec 14, 2022",95.54,97.22,93.94,95.31,95.31
"Dec 13, 2022",98.07,99.80,95.38,95.85,95.85
"Dec 12, 2022",93.09,93.88,91.90,93.56,93.56
"Dec 09, 2022",93.90,94.49,93.02,93.07,93.07
"Dec 08, 2022",95.69,95.87,93.80,93.95,93.95
"Dec 07, 2022",96.77,97.31,95.03,95.15,95.15
"Dec 06, 2022",99.67,100.21,96.76,97.31,97.31
"Dec 05, 2022",99.82,101.75,99.36,99.87,99.87
"Dec 02, 2022",99.37,101.15,99.17,100.83,100.83
"Dec 01, 2022",101.40,102.59,100.67,101.28,101.28
"Nov 30, 2022",95.12,101.45,94.67,101.45,101.45
"Nov 29, 2022",96.00,96.39,94.39,95.44,95.44
"Nov 28, 2022",97.20,97.83,95.89,96.25,96.25
"Nov 25, 2022",98.46,98.94,97.53,97.60,97.60
"Nov 23, 2022",97.34,99.07,97.34,98.82,98.82
"Nov 22, 2022",96.16,97.55,94.41,97.33,97.33
"Nov 21, 2022",97.56,98.72,95.67,95.83,95.83
"Nov 18, 2022",99.01,99.16,96.74,97.80,97.80
"Nov 17, 2022",97.18,99.48,97.10,98.50,98.50
"Nov 16, 2022",98.02,99.85,97.90,98.99,98.99
"Nov 15, 2022",98.67,100.42,97.02,98.72,98.72
"Nov 14, 2022",95.50,97.18,95.11,96.03,96.03
"Nov 11, 2022",94.71,97.36,94.16,96.73,96.73
"Nov 10, 2022",92.34,94.55,91.65,94.17,94.17
"Nov 09, 2022",88.54,89.49,87.36,87.40,87.40
"Nov 08, 2022",89.16,90.40,87.65,88.91,88.91
"Nov 07, 2022",87.34,88.94,86.96,88.65,88.65
"Nov 04, 2022",85.51,86.73,83.88,86.70,86.70
"Nov 03, 2022",86.35,86.55,83.45,83.49,83.49
"Nov 02, 2022",90.91,91.30,87.01,87.07,87.07
"Nov 01, 2022",95.59,96.17,90.43,90.50,90.50
"Oct 31, 2022",95.78,96.35,94.38,94.66,94.66
"Oct 28, 2022",92.53,96.86,92.32,96.58,96.58
"Oct 27, 2022",94.31,95.17,91.90,92.60,92.60
"Oct 26, 2022",96.76,98.54,94.57,94.82,94.82
"Oct 25, 2022",103.30,105.10,103.02,104.93,104.93
"Oct 24, 2022",102.09,103.10,100.30,102.97,102.97
"Oct 21, 2022",98.46,101.62,98.23,101.48,101.48
"Oct 20, 2022",100.82,103.00,99.97,100.53,100.53
"Oct 19, 2022",100.70,101.66,99.64,100.29,100.29
"Oct 18, 2022",103.94,104.22,100.65,101.39,101.39
"Oct 17, 2022",99.52,101.77,99.51,100.78,100.78
"Oct 14, 2022",100.63,101.29,97.03,97.18,97.18
"Oct 13, 2022",95.93,100.53,95.27,99.71,99.71
"Oct 12, 2022",98.27,99.65,97.67,98.30,98.30
"Oct 11, 2022",98.25,100.12,97.25,98.05,98.05
"Oct 10, 2022",99.85,99.99,97.87,98.71,98.71
"Oct 07, 2022",100.65,101.42,99.21,99.57,99.57
"Oct 06, 2022",101.50,103.73,101.50,102.24,102.24
"Oct 05, 2022",100.69,102.74,99.74,102.22,102.22
"Oct 04, 2022",101.04,102.72,101.04,102.41,102.41
"Oct 03, 2022",97.22,99.97,97.02,99.30,99.30
"Sep 30, 2022",97.73,99.49,96.03,96.15,96.15
"Sep 29, 2022",99.30,99.30,96.52,98.09,98.09
"Sep 28, 2022",98.02,101.40,97.80,100.74,100.74
"Sep 27, 2022",99.91,100.46,97.34,98.09,98.09
"Sep 26, 2022",98.61,100.44,98.38,98.81,98.81
"Sep 23, 2022",100.06,100.11,98.01,99.17,99.17
"Sep 22, 2022",99.45,101.68,99.41,100.57,100.57
"Sep 21, 2022",102.24,103.49,99.99,100.01,100.01
"Sep 20, 2022",102.88,103.17,101.12,101.83,101.83
"Sep 19, 2022",102.54,104.02,102.37,103.85,103.85
"Sep 16, 2022",102.97,104.03,101.86,103.63,103.63
"Sep 15, 2022",105.01,106.21,103.31,103.90,103.90
"Sep 14, 2022",105.44,106.10,104.50,105.87,105.87
"Sep 13, 2022",108.89,109.37,105.00,105.31,105.31
"Sep 12, 2022",111.99,112.64,110.93,111.87,111.87
"Sep 09, 2022",110.05,112.00,110.00,111.78,111.78
"Sep 08, 2022",109.18,110.58,108.06,109.42,109.42
"Sep 07, 2022",107.76,110.99,107.61,110.48,110.48
"Sep 06, 2022",108.14,108.88,106.51,107.48,107.48
"Sep 02, 2022",111.34,111.68,108.13,108.68,108.68
"Sep 01, 2022",109.20,111.22,108.19,110.55,110.55
"Aug 31, 2022",111.63,111.77,109.05,109.15,109.15
"Aug 30, 2022",111.03,111.37,108.80,109.91,109.91
"Aug 29, 2022",110.78,111.96,109.81,110.34,110.34
"Aug 26, 2022",115.81,116.60,111.22,111.30,111.30
"Aug 25, 2022",115.15,117.78,115.05,117.70,117.70
"Aug 24, 2022",114.45,115.72,113.78,114.70,114.70
"Aug 23, 2022",114.32,115.93,114.30,114.77,114.77
"Aug 22, 2022",116.10,116.50,114.67,115.07,115.07
"Aug 19, 2022",119.87,120.00,117.67,118.12,118.12
"Aug 18, 2022",120.23,121.69,119.55,120.86,120.86
"Aug 17, 2022",120.93,122.15,120.20,120.32,120.32
"Aug 16, 2022",122.32,123.23,121.54,122.51,122.51
"Aug 15, 2022",122.21,123.26,121.57,122.88,122.88
"Aug 12, 2022",121.16,122.65,120.40,122.65,122.65
"Aug 11, 2022",122.08,122.34,119.55,119.82,119.82
"Aug 10, 2022",119.59,121.78,119.36,120.65,120.65
"Aug 09, 2022",117.99,118.20,116.56,117.50,117.50
"Aug 08, 2022",119.12,120.86,117.83,118.14,118.14
"Aug 05, 2022",116.93,118.86,116.71,118.22,118.22
"Aug 04, 2022",118.30,119.50,117.71,118.87,118.87
"Aug 03, 2022",116.34,119.42,116.15,118.78,118.78
"Aug 02, 2022",114.43,117.08,114.26,115.90,115.90
"Aug 01, 2022",115.53,117.12,114.69,115.48,115.48
"Jul 29, 2022",113.40,116.90,113.23,116.64,116.64
"Jul 28, 2022",112.80,114.70,111.85,114.59,114.59
"Jul 27, 2022",109.60,114.40,108.42,113.60,113.60
"Jul 26, 2022",107.43,107.74,104.76,105.44,105.44
"Jul 25, 2022",108.88,110.58,107.01,108.21,108.21
"Jul 22, 2022",111.81,113.18,107.60,108.36,108.36
"Jul 21, 2022",115.09,115.21,111.91,115.04,115.04
"Jul 20, 2022",114.06,116.33,113.26,114.70,114.70
"Jul 19, 2022",111.73,114.81,110.50,114.62,114.62
"Jul 18, 2022",113.44,114.80,109.30,109.91,109.91
"Jul 15, 2022",112.96,114.00,111.82,112.77,112.77
"Jul 14, 2022",110.83,111.99,109.33,111.44,111.44
"Jul 13, 2022",112.64,115.16,111.82,112.19,112.19
"Jul 12, 2022",116.84,117.85,114.61,114.85,114.85
"Jul 11, 2022",118.65,118.79,116.23,116.52,116.52
"Jul 08, 2022",117.55,120.43,117.51,120.17,120.17
"Jul 07, 2022",116.01,119.86,115.53,119.31,119.31
"Jul 06, 2022",114.09,116.35,112.25,115.21,115.21
"Jul 05, 2022",107.51,114.05,106.25,113.89,113.89
"Jul 01, 2022",108.34,109.81,107.11,109.08,109.08
"Jun 30, 2022",110.50,111.33,107.31,109.37,109.37
"Jun 29, 2022",112.15,113.66,111.55,112.26,112.26
"Jun 28, 2022",116.35,117.86,112.44,112.57,112.57
"Jun 27, 2022",118.93,119.25,116.00,116.62,116.62
"Jun 24, 2022",113.60,118.64,113.60,118.54,118.54
"Jun 23, 2022",112.95,113.20,111.03,112.68,112.68
"Jun 22, 2022",111.16,113.77,110.72,112.03,112.03
"Jun 21, 2022",109.70,112.67,109.29,112.01,112.01
"Jun 17, 2022",106.54,109.25,105.63,107.87,107.87
